,位置,名称,建筑面积(平方米),总价（元）,户型,朝向,楼层,每平米售价（元）,装修情况
19,番禺,锦绣半岛 温馨两房  全新装修  南北对流  高层景观,86,2950000,2室2厅,南,高层/25层,34302,精
20,番禺,雅居乐花园 急售 业主自主保养好 过5年  税费低 看房提前,158.2,6000000,4室2厅,东,低层/10层,37927,普通
21,天河,五山花园一期 五山花园一套中等楼层的东南向的卖，下手要快,84,5400000,2室2厅,南,高层/8层,64286,普通
22,番禺,锦绣半岛 一线江景  望江望花园  通风采光,89.7,3150000,3室2厅,北,中层/25层,35117,精
23,番禺,丹桂园 近地铁 热卖中 大家族之选 独栋豪华别墅,653,12000000,20室6厅,西,低层/3层,18377,精
24,天河,中兴花园 精装修三房350万 东南向 安静 保养好 免装修,90,3400000,3室1厅,东,低层/12层,37778,普通
25,番禺,锦绣半岛 双证大三房 望花园安静舒适 带主套小阳台,110,3100000,3室2厅,北,低层/19层,28182,精
26,番禺,美心翠拥华庭  坐北朝南 3房2卫 近地铁站 业主急换房,116,2880000,3室2厅,南,高层/6层,24828,精
27,番禺,祈福新村E区 祈福新村E区 精装修 家私家电齐全 ,91,2350000,3室2厅,南,中层/4层,25824,普通
28,番禺,锦绣半岛 双证大三房 望花园安静舒适 带主套小阳台,110,3100000,3室2厅,北,低层/19层,28182,精
29,海珠,第三金碧花园  金碧花园三期 单价4万平方 南向望江 带装,105.89,4800000,3室2厅,南,中层/32层,45330,普通
30,黄埔,万科城市花园 稀有南北四房  格局方正 采光好 交通便利 ,97,3700000,4室2厅,东北,中层/11层,38144,精
31,天河,农科院 两房一厅精致装修业主急售,62,3000000,2室1厅,南北,高层/5层,48387,精
32,番禺,东裕园 房屋构造漂亮  ,120,2880000,4室2厅,西南,高层/7层,24000,精
33,天河,保利心语花园 全新装修三房 安静望花园 业主诚心卖看中可谈,106.95,10200000,3室2厅,南,高层/32层,95372,普通
34,番禺,奥园养生广场 大2房精装修 电梯高层采光足,82,1200000,2室2厅,东北,中层/29层,14634,精
35,番禺,锦绣半岛 温馨江景两房  环境舒适安静,77,2800000,2室2厅,北,中层/29层,36364,精
36,番禺,金海岸花园二期 番禺广场电梯中层大两房,89.5,2850000,2室2厅,北,中层/15层,31844,普通
37,番禺,东雅园 东雅园精装修3室2厅1厨：305.00万,132,3050000,3室2厅,南,高层/7层,23106,普通
38,番禺,建桥大厦 免稅 业主已经装修好 过2 无按揭,111.7,2220000,3室2厅,东,中层/16层,19875,精
39,番禺,奥园养生广场 公寓 精致装修 保养好 拿包即住,52,700000,1室1厅,东南,中层/29层,13462,普通
40,番禺,海怡花园 园景漂亮 清雅安静 江边重修了大道散步很舒服,101.5,4200000,4室2厅,南,低层/12层,41379,精
41,番禺,雅居乐花园 超大阳台 采光生活晒被子足不出户 业主自住干净整洁,113,4900000,3室2厅,南,低层/6层,43363,普通
42,番禺,万科欧泊 万博商圈板块 证过2年 税费低 采光好 保养好,95,4150000,3室2厅,北,高层/35层,43684,精
43,番禺,振兴南路 两房1厅1厨1卫经济适用自住房,74.2,1150000,2室1厅,南,高层/7层,15499,普通
44,番禺,洛涛居北区 豪装4房 单边位 复式南北对流 视野开阔,139,3980000,4室4厅,北,高层/6层,28633,精
45,番禺,锦绣半岛 大三房  全新装修 一线江景 南北通透,139.54,5600000,3室2厅,北,高层/28层,40132,精
46,番禺,锦绣半岛 三房 南北对流  高层景观,95,3500000,3室2厅,北,高层/25层,36842,普通
47,天河,合景睿峰 租售  温馨三房，豪华装,110,6500000,3室2厅,西北,高层/41层,59091,豪华
48,番禺,雅居乐花园 十年雅居乐经典收尾之作，十年小雅小户型诚意放售,76,3100000,2室2厅,南,中层/33层,40789,精
49,番禺,清河西路  83m²精装修3房南北对流拎包入住 售133万,83,1330000,3室1厅,南,低层/6层,16024,精
50,番禺,金业别墅花园金业西路 5房别墅  格局方正 少有放盘 ,230,8800000,5室2厅,南,共1层,38261,精
51,天河,美林湖畔花园 精装三房，户型方正,112,5800000,3室2厅,东北,低层/11层,51786,精
52,番禺,万科欧泊 大面积一室一厅 精装公寓 投.资自住两相宜,72,1800000,1室1厅,东,中层/10层,25000,精
53,番禺,华侨城 电梯直上  中高楼层 三房带主套 诚意出售,115,2650000,3室2厅,西,中层/13层,23043,普通
54,黄埔,骏鸿花园 骏鸿花园 精装修 复式住宅 安静不吵 采光通风好,165.81,4980000,5室3厅,南,高层/6层,30034,普通
55,天河,中兴花园 温馨实用大两房 自住保养好,89,3600000,2室2厅,南,中层/18层,40449,精
56,黄埔,金碧领秀国际 三房 采光好 省级怡园小学 BRT乌冲站 环境好,107,4600000,3室2厅,北,中层/33层,42991,精
57,番禺,北城白云花园 近地铁 中等楼层 采光明亮 少有放盘,128.5,3250000,3室2厅,西北,低层/16层,25292,精
58,番禺,华侨城 诚意出售  温馨两房   南北通透  ,60,1380000,2室1厅,南,中层/8层,23000,普通
59,天河,农科院 户型方正，楼层高视野好,77,4650000,3室2厅,西北,中层/9层,60390,普通
60,番禺,侨联社区新城区 地铁物业全新装修南向三房桥东小学生活配,64.9,1500000,3室1厅,南,低层/5层,23112,普通
61,番禺,金沙湾花园 690.00 万元 金沙湾花园 精致装修 5室2厅,240.6,6900000,5室2厅,西北,高层/11层,28678,精
62,番禺,华侨城 3房2厅 98平 精装装修 南北,98,2300000,3室2厅,南,高层/8层,23469,精
63,番禺,华侨城   精装三房  保养新净  诚意出售  ,114,2600000,3室2厅,东,高层/13层,22807,精
64,番禺,繁华路 近地铁全新豪华三房 安静舒适采光好 可拎包入住,88,2180000,3室2厅,南,低层/7层,24773,精
65,番禺,花样年华 稀有三房单证 电梯中层 精致装修 业主急售,89,2700000,3室2厅,西南,低层/19层,30337,精
66,天河,翠安侬苑 华景新城 安静东南向5房 新装修只住半年 望小蛮腰,170,9000000,4室2厅,南,中层/36层,52941,精
67,番禺,雅居乐花园 雅悦庭精装三房,97,3750000,3室2厅,北,中层/11层,38660,普通
68,番禺,雅居乐花园 精致四房放售 十万人社区温馨之家 中高楼层居住舒适,169,7100000,4室2厅,东,高层/15层,42012,精
69,天河,保利香槟花园 交通方便,168,13200000,3室2厅,东,低层/17层,78571,普通
70,黄埔,怡港花园 电梯复式 户型方正,220,8000000,4室3厅,西南,高层/11层,36364,精
71,天河,盈彩美居 南向少有大三房 业主诚意出售 有平台 看房方便,107.39,4950000,3室2厅,南,低层/12层,46094,普通
72,番禺,锦绣半岛 双证大三房  双阳台一线江景,118,2950000,3室2厅,西,低层/26层,25000,精
73,天河,科技干部学院宿舍 实用3房 南北对流 安静不吵 交通方便,72,3800000,3室2厅,南北,低层/11层,52778,普通
74,番禺,锦绣半岛 双证大三房 望花园舒适好房 ,118,3200000,3室2厅,西,中层/26层,27119,精
75,海珠,侨燕苑 江燕路 精装3房 采光通风好,93,3000000,3室2厅,东北,高层/9层,32258,普通
76,黄埔,黄埔花园 精致南向大两房业主换大房低价出售看房提前,87.1,3550000,2室2厅,南,高层/11层,40758,普通
77,天河,中兴花园 两房 厅出阳台 采光好 视野开阔,75,2900000,2室2厅,西,中层/12层,38667,精
78,番禺,万科欧泊 高层精装两房 房大厅宽 视野好,80,3500000,2室2厅,东北,高层/35层,43750,普通
79,番禺,锦绣半岛 江景大宅  一线江景 视野宽阔，安静舒适,324,9600000,5室2厅,西,高层/28层,29630,普通
80,番禺,万科欧泊 美丽三房 诚意出售 高层无遮挡 尽揽万博CBD风景,95.5,4250000,3室2厅,西北,中层/35层,44503,精
81,番禺,敏捷华美国际 楼栋中高层,55,1150000,1室0厅,南,中层/17层,20909,毛坯
82,番禺,敏捷金月湾 大三房  视野宽阔 采光好 南北对流,129.6,4800000,3室2厅,南,低层/31层,37037,精
83,番禺,山泉居 精装实用2房高楼层 业主自住保养靓 因换房急售,63,1900000,2室1厅,北,高层/6层,30159,普通
84,番禺,喜盈雅境北苑 精装修电梯一房 送家私家电 70年产权 急售,38,950000,1室0厅,南,低层/12层,25000,精
85,番禺,金海岸花园一期 近番禺地铁 近学校 精装三房两厅 精装修 采光通透,120,3250000,3室2厅,东北,高层/6层,27083,精
86,天河,加拿大花园 价到即卖，定，对，不，反。价！产权清晰，为你免除担,112,6000000,3室2厅,西南,低层/25层,53571,普通
87,番禺,万科欧泊 万博CBD板块 南北对流 保养好 采光好 提前约,94,4500000,3室2厅,东西,高层/35层,47872,精
88,番禺,雅居乐锦官城 离地铁站近，环境不错,97.4,3000000,3室2厅,西,中层/18层,30801,精
89,番禺,万科欧泊 南北对流，过2年，视野好，有钥匙看房,95,4500000,3室2厅,南,高层/33层,47368,普通
90,海珠,金碧花园 金碧花园 大单间带阳台可改一房 南北对流 户型方正,28,1200000,1室0厅,西,低层/33层,42857,普通
91,天河,华农长岗山 业主置换，忍痛割爱，价格实惠，证满5年，税费极少，,55.54,3580000,2室2厅,北,中层/3层,64458,普通
92,番禺,华侨城 电梯中楼层  温馨两房  采光好 通风,73,1800000,2室1厅,西,中层/13层,24658,普通
93,黄埔,黄埔雅苑 全南向三房 精装修 户型方正 望花园,97.7,3600000,3室2厅,南,高层/12层,36847,精
94,番禺,香缤豪庭博学公馆 香槟豪庭中等楼层向花园户型方正采光好方便,84,2850000,4室2厅,南,低层/24层,33929,精
95,番禺,西城花园 诚意出售  稀有房源   正四房  超低单价  ,157,2660000,4室2厅,南,高层/6层,16943,普通
96,番禺,富宾星悦国际 中高2房2厅1卫南北对流,88.9,3000000,2室2厅,东南,中层/9层,33746,精
97,海珠,翠城花园 产权清晰 西南向 采光好 可改三房 格局实用  ,82.78,4100000,2室2厅,南,低层/29层,49529,精
98,黄埔,万科城市花园 南向大三房望花园精装修南北对流,112,4350000,3室2厅,东南,低层/11层,38839,精
99,天河,中海花城湾 珠江新城 温馨两房 拎包入住 钥匙在手 天下我有,71,7600000,2室2厅,东,中层/30层,107042,普通
100,番禺,万科金色城品 复式四房 不看后悔 业方急售,62,3550000,4室2厅,南,高层/8层,57258,毛坯
101,天河,五山花园二期 精品装修 方正户型  人文素质高 世纪笋盘,77,5080000,3室1厅,东,高层/10层,65974,普通
102,番禺,雅居乐花园 双阳台采光好业主自住保养好看房方便,97.25,3900000,3室2厅,南,中层/23层,40103,普通
103,番禺,奥园养生广场 精装，业主急卖，无按揭 ，南北通透,36,550000,1室0厅,东北,高层/29层,15278,精
104,海珠,南翠园 南翠园 个人急售 配套齐全 南北通透,64,1980000,2室2厅,南,高层/9层,30938,精
105,番禺,万科欧泊 复式物业 买一层用两层 视野开阔 一览万博CB风情,95,6500000,3室2厅,北,高层/33层,68421,精
106,番禺,华侨城 3房2厅 101平 精装装修 南,100.1,2150000,3室2厅,南,低层/8层,21479,普通
107,黄埔,金碧世纪花园 安静两房  使用率高 安静望花园  看房方便,69,2620000,2室2厅,北,低层/32层,37971,精
108,黄埔,悦涛雅苑 3房2厅 户型方正 怡园东,120.69,4300000,3室2厅,东,低层/13层,35628,精
109,番禺,万科欧泊 美丽三房 诚意出售 高层南向 全新装修 全新格局,94.6,4250000,3室2厅,东南,高层/42层,44926,精
110,天河,盈彩美居菁品园 天河东圃 盈彩美居三期 精装三房 送家私电 全新,86,4300000,3室2厅,西北,中层/25层,50000,精
111,番禺,东城中街 业主已订南沙别墅 需要资金交首付 本周必卖,63,1450000,2室1厅,东,高层/7层,23016,普通
112,天河,中海康城 中海康城 纯南向精装三房 带花园 安静舒适少有户型,126,7300000,3室2厅,南,低层/7层,57937,精
113,海珠,海富花园 电梯中高层 正南向 望花园 正规三房带主套 ,107,5200000,3室2厅,西南,中层/18层,48598,普通
114,番禺,锦绣半岛 双证大三房  装修时尚  南北对流  视野宽阔,113,3500000,3室2厅,南,中层/25层,30973,精
115,天河,华景新城4期 精装大两房 南向 安静采光好 通风 华景小学,99.9,4200000,2室2厅,南,中层/9层,42042,精
116,番禺,万科欧泊 近地铁 万博商圈 即买即收租 采光好 看房提前约,40,950000,1室0厅,东,高层/10层,23750,精
117,天河,佳润上品菁园 劲爆 2015年楼龄 东向三房 安静望花园 钥匙在,84.28,4100000,3室2厅,东,高层/9层,48647,精
118,番禺,珠江花园 实用两房 交通便利 配套成熟 18号地铁站旁,70,1900000,3室1厅,东北,低层/28层,27143,普通
119,番禺,流金岁月 大三房，阳光充足，俯瞰 桥南 豪华 景观,152,4700000,3室2厅,南,高层/28层,30921,精
120,天河,名门大厦 双地铁   顶复式 银行无抵押贷款 可以马上交易 ,246,11500000,5室3厅,北,高层/33层,46748,精
121,番禺,花样年华 精装3房，不一样的住宅，不一样的体验，或许这就是家,92,2750000,3室2厅,西北,中层/19层,29891,精
122,番禺,锦绣半岛 双证大三房 望花园舒适好房 采光好,118,3200000,3室2厅,西,中层/26层,27119,精
123,天河,华景新城3期 店长推荐笋盘户型方正精装教育盘,86,3990000,3室2厅,西,低层/9层,46395,豪华
124,番禺,锦绣半岛 东区温馨两房，望花园，通风好,81,2600000,2室2厅,北,中层/25层,32099,精
125,天河,铂林国际公寓 复式一房一厅 全新装修 家私齐全 随时看房,34.57,3000000,1室1厅,南,低层/22层,86780,精
126,番禺,可逸阳光 精装修三房 入读省级学校 可公积金 看房联系我,108,3350000,3室2厅,北,高层/13层,31019,精
127,番禺,锦绣半岛 一楼复式两层 自带门前花园+后花园,93.83,4100000,4室2厅,西,低层/19层,43696,豪华
128,番禺,尚东尚筑 小区环境好，交通方便配套成熟高楼一房一厅，卖170,62.16,1700000,1室1厅,南,中层/17层,27349,精
129,番禺,海伦堡御院 店长急推！！笋盘！豪华装修 稀有复式 南向！！,170,3980000,3室2厅,东南,高层/6层,23412,精
130,番禺,雅居乐花园 邻居 静装修 三房两厅 两个阳台望别墅,122,4380000,3室2厅,西,中层/11层,35902,精
131,海珠,晓园新村 省级学校 有超大入户花园 正规两房 采光好通风好 ,61,2200000,2室1厅,南,低层/8层,36066,精
132,番禺,奥园养生广场 南北对流 配套成熟 不限购 新装修 即买即收租,36,600000,1室0厅,北,低层/29层,16667,普通
133,番禺,万科欧泊 精装修 三房。赠送超大面积露台,95,4600000,3室2厅,南,低层/32层,48421,精
134,天河,隽峰苑  精致装修 3室2厅1厨2卫,137,13700000,3室2厅,南北,高层/32层,100000,精
135,番禺,昊龙花园南区 电梯高层 花园中间位置 业主诚心放卖 ,98,3100000,3室1厅,西北,高层/9层,31633,精
136,天河,五山花园一期 东南向两房 低总价 业主诚意出售 看房有钥匙,69,4120000,2室2厅,东南,中层/8层,59710,普通
137,番禺,雅居乐花园 大型社区   有钥匙    随时看,123,4400000,3室2厅,北,中层/11层,35772,精
138,番禺,锦绣半岛 精致两房,79,2800000,2室2厅,西北,低层/29层,35443,精
139,番禺,锦绣半岛 望江望花园   中层景观好   装修保养好,113,2900000,3室2厅,西北,低层/28层,25664,精
140,番禺,雅居乐城南源著 雅居乐城南源著 保养新净 番中附小 一房一厅,64,2300000,1室1厅,西,低层/12层,35938,精
141,黄埔,金碧世纪花园 三期高层南向两房 可看小蛮腰 免装入住 诚心出售,66,2550000,2室1厅,东南,高层/32层,38636,精
142,番禺,花样年华三期 市桥南  实验小学  精装修两房    采光通风好,83,2520000,2室2厅,西南,低层/18层,30361,精
143,番禺,雅居乐花园 园中园  前后花园  舒适大四房 三房朝南,157,6000000,4室2厅,南,低层/11层,38217,普通
144,番禺,花样年华 小区新 电梯房 近奥园广场,66.42,1770000,3室2厅,北,高层/11层,26649,普通
145,番禺,朗陶居 朗陶居舒适三房高性价比带平台纯南向,90,2300000,3室2厅,南,低层/7层,25556,精
146,番禺,奥园广场 复试两房两厅 配套成熟 购物方便 收租三千五以上,110,1600000,2室1厅,南,低层/25层,14545,精
147,白云,金碧新城花园 5期中楼层，精装修3房，格局方正，南向，业主诚心放,93,3650000,3室1厅,西南,低层/27层,39247,精
148,番禺,西城花园 融入一切居住的元素，焕发新时代的魅力 正规3房,124,3000000,3室2厅,北,高层/11层,24194,普通
149,番禺,广州奥林匹克花园 刚需两房 配套齐全 人车分流 近地铁 交通方便 ,89,3250000,2室2厅,南,低层/12层,36517,精
150,番禺,雅居乐花园 雅翠庭南向两房,88,3500000,2室2厅,南,高层/9层,39773,精
151,天河,天成大厦 港式风格复古典雅超大户型风景好,143,7800000,5室2厅,东南,高层/32层,54545,普通
152,黄埔,金碧世纪花园 稀.缺房源 带超大平台 无遮挡 采光好 诚心出售,90.6,3500000,3室2厅,北,低层/32层,38631,精
153,白云,升平楼 石井升平前街温馨两房户型方正配套齐全,52.25,1500000,2室1厅,南,中层/8层,28708,精
154,番禺,绿庭雅苑 精装三房带主套,115,2600000,3室2厅,南,高层/7层,22609,精
155,天河,中海康城 精装2+1户型，保养不错，简单刷墙，拎包入住,84.77,3400000,3室2厅,东北,低层/17层,40109,普通
156,海珠,金碧花园 2房1厅  精装装修 南向,48,2150000,2室2厅,南,中层/22层,44792,精
157,番禺,奥园养生广场  全新装修 电梯 高层采光好,36,600000,1室0厅,东,高层/29层,16667,精
158,天河,嘉裕礼顿阳光 精致装修  高层  ,40,3050000,1室0厅,南,高层/30层,76250,精
159,番禺,华景新城 华景新城 精装三房 户型方正 北向对花园 看房方便,98,2500000,3室2厅,北,低层/7层,25510,精
160,番禺,裕福花园 稀有望园景地铁物业，三房改大二房，双阳台！南北对流,120,3250000,2室2厅,北,低层/19层,27083,精
161,天河,尚东君御 珠江新城中轴地段大单间笋盘出售,39,4180000,1室0厅,南,中层/46层,107179,精
162,黄埔,中鼎君和名城 温馨三房 交通便利 小区配套成熟 有证在手,89.81,3800000,3室2厅,东北,高层/33层,42312,精
163,番禺,雅居乐君域公馆 三房带主套 毛坯未入住 楼层适中 南向望花园,126,3150000,3室2厅,南,低层/31层,25000,毛坯
164,天河,盈彩美居菁品园 温馨住家三房 保养好东南向 业主诚心出售 价格可谈,98,4680000,3室2厅,东南,低层/25层,47755,精
165,黄埔,金碧世纪花园 东南向刚需实用两房位置安静,69,2560000,2室2厅,南北,低层/17层,37101,普通
166,番禺,康裕苑 康裕园便宜的豪宅,170,4420000,4室2厅,南,高层/5层,26000,豪华
167,天河,铂林国际公寓 珠江新城 还是复试的 自主优先选择,34,3000000,1室2厅,南,高层/22层,88235,普通
168,天河,华景新城芳满庭园 南向一室一厅，户型方正,40.1,2600000,1室1厅,东南,低层/36层,64838,普通
169,海珠,金碧花园 少有复试2房  望花园  小区配套完善 ,87,2980000,2室2厅,西南,高层/6层,34253,普通
170,番禺,绣品社区 高楼层，采光好。,107,1800000,3室2厅,东,高层/8层,16822,普通
171,天河,中海康城 精致南向两房 中间位置 业主诚信出售 价格适中,76,3450000,2室2厅,南,高层/12层,45395,精
172,番禺,喜盈雅境 正南向三房两厅带主套，小学就在门口，小区环境优美,115.26,3500000,3室2厅,南北,中层/18层,30366,精
173,番禺,锦绣半岛 望花园新静好房  南北对流   装修保养非常好,97,3200000,3室2厅,西北,低层/25层,32990,精
174,天河,中海花城湾 南向望广州塔 猎德大桥 视野开阔,80,9000000,2室2厅,南,高层/30层,112500,精
175,番禺,招商金山谷 卖少见少的优质小区,109.17,3850000,3室2厅,南,高层/32层,35265,精
176,番禺,水韵蓝湾 客厅朝南 拎包入住 视野好 靠近花园 ,90,2200000,2室2厅,北,中层/17层,24444,精
177,番禺,东海花园 东海花园地铁学 位邻近江边 精装大三房 南向,120,4700000,3室2厅,南,低层/23层,39167,精
178,番禺,雅居乐锦官城 精装三房两厅，红本在售，看上速联,110,3180000,3室2厅,东南,低层/18层,28909,精
179,天河,华景新城陶然庭苑 电梯三房 86平 精装装修 安静望花园,86,5100000,3室2厅,北,低层/36层,59302,普通
180,番禺,友谊尚居 精致装修 1室1厅1厨1卫,58,2250000,1室1厅,西,低层/15层,38793,精
181,白云,金碧新城花园 金碧新城精装两房 保养新净 采光好 过五只一套税少,65,2350000,2室1厅,北,低层/32层,36154,精
182,番禺,花样年华三期 豪华装修 东南,155,5600000,6室2厅,东南,低层/18层,36129,豪华
183,黄埔,豫章园 小三房 低总价 一次性付款 即买即入住 配套齐,80,1760000,3室2厅,北,高层/33层,22000,精
184,天河,华景新城5期 中层东向三房 安静望花园,97,4800000,3室2厅,南,中层/9层,49485,普通
185,番禺,奥园广场 精装单间 温馨试验 盛大出租 诚邀验房 ,40,700000,1室0厅,北,中层/25层,17500,精
186,天河,华南理工大学宿舍 南向四房，户型方正，楼层视野好,133,10800000,4室2厅,南北,中层/9层,81203,精
187,番禺,朗陶居 精装三房 全南户型 业主置换物业 诚心出售,128,3200000,3室2厅,南,中层/7层,25000,精
188,番禺,柏丽甜果 不限购电梯中间位置商住两用交通便利,56,850000,2室2厅,东,中层/21层,15179,精
189,天河,中兴花园 业主急售 3.3万低价  地铁13号线珠村站已定,78.87,2610000,2室1厅,西,高层/12层,33092,普通
190,番禺,C区第21街 温馨两房 近公园 安静舒适 带前后阳台 实用率高,67,2060000,2室2厅,南,低层/3层,30746,精
191,番禺,康裕北苑 品质小区 省一级学校 电梯中层 采光好,200.7,6300000,4室2厅,南,中层/9层,31390,精
192,番禺,映月翠庭 近地铁 大2房 少有放盘 过五免重税,81,2500000,2室2厅,东,中层/6层,30864,精
193,番禺,鑫润花园 户型方正 厅出阳台  宽敞大气,102,2780000,2室1厅,南,高层/16层,27255,精
194,天河,翠安侬苑 东向安静望花园 业主自住保养好 格局方正 光线好,101.11,6000000,3室2厅,东,高层/36层,59341,普通
195,番禺,星晨时代豪庭  豪华装修 急  急  赶紧抢,148,5290000,3室2厅,东南,中层/26层,35743,豪华
196,天河,天一庄 实用小三房～业主自住，看房提前约,88,5280000,3室2厅,东,高层/30层,60000,普通
197,天河,财富世纪广场  实用两房 可租可售 采光通风好 拎包入住,98,4500000,2室2厅,南,高层/28层,45918,豪华
198,番禺,敏捷金月湾 豪华大四房欧式定制装修,170,6600000,4室2厅,西,低层/18层,38824,精
199,番禺,雅澜苑 精致装修 3室1厅1厨1卫,83,2350000,3室1厅,南,高层/6层,28313,精
200,天河,珠江俊园 三房精装修带大平台10年成熟配套尽售668万,105,6680000,3室2厅,西南,低层/28层,63619,普通
201,番禺,尚东尚筑 1房1厅 51平 精装装修 南,52,1600000,1室1厅,南,高层/17层,30769,精
202,番禺,荔园新天地 精致装修 复式户型 办公居住环境一流 强烈推荐,140,600000,2室2厅,东南,中层/5层,4286,精
203,番禺,侨基花园 环境很好，比较绿化,83,1900000,3室2厅,西北,中层/33层,22892,普通
204,天河,中海康城 高层南向两房  业主急售,76,3300000,2室2厅,南,高层/20层,43421,普通
205,天河,隽峰苑 精装两房 家私齐 小区有大型花园 环境清幽  急卖,64,6300000,2室1厅,北,低层/32层,98438,精
206,海珠,金碧花园 双地铁  厅直阳台 采光充足  随时看房,70,2950000,2室2厅,西,高层/22层,42143,普通
207,天河,隽峰苑 欧式精装居家两房自住保养好朝阳采光,64,6300000,2室2厅,北,低层/32层,98438,精
208,天河,华景新城3期 3房1厅 86.02平 普通装修 西北,86.02,3900000,3室1厅,西北,中层/9层,45338,普通
209,天河,加拿大花园 安静两房330万业主诚心出售 手快有慢无,73.6,3200000,2室2厅,西北,低层/25层,43478,普通
210,天河,华景新城芳满庭园 装修精美，以自住标准装修，家私家电齐全，拎包即可入,78.81,4200000,2室2厅,东北,高层/36层,53293,豪华
211,天河,华景新城陶然庭苑  前排望花园 温馨两房 南北对流 户型方正 ,78,4200000,2室1厅,北,低层/36层,53846,精
212,天河,信华经理人花园 中楼层，大三房，环境好,113,7000000,3室2厅,东北,低层/31层,61947,普通
213,天河,嘉裕公馆 大三房，阳台望花园，保养好，诚心出售,174,16000000,3室2厅,北,高层/33层,91954,精
214,番禺,禺秀园 周边配套齐全，出行方便,101,2180000,3室1厅,南,中层/7层,21584,普通
215,天河,华景新城陶然庭苑 电梯两房格局方正保养新华景小学,78,4100000,2室2厅,北,高层/35层,52564,普通
216,番禺,捷进中路 邻近地铁，交通，生活便利,117.1,2160000,3室1厅,东南,高层/7层,18446,普通
217,番禺,华侨城 实用三房带主套,115,2600000,4室2厅,东,中层/13层,22609,普通
218,番禺,雅居乐花园 雅逸庭 房型方正 南北对流 看房随时 高楼层景观好,157,5800000,4室2厅,南,高层/11层,36943,精
219,番禺,新世纪花园 复式三层 大四房 采光好  过五不唯,184.5,3800000,4室2厅,西南,高层/6层,20596,精
220,天河,华景新城陶然庭苑 电梯四房 安静望花园 通风采光好,135.44,8350000,4室2厅,南,低层/35层,61651,普通
221,番禺,雅居乐花园 近地 刚需精美两房 双阳台 首付不足百万,80,3100000,2室2厅,南,中层/9层,38750,精
222,番禺,君华御府 户型方正，南北通风,74.47,3000000,4室2厅,南,中层/32层,40285,毛坯
223,天河,翠湖山庄 闹市中少有的依山傍水方正户型阳台望花园业主好,130,6500000,3室2厅,东南,高层/31层,50000,普通
224,番禺,珊瑚湾畔 四房一厅双阳台望江南北对流急售590万,190,5900000,4室1厅,南北,中层/33层,31053,毛坯
225,番禺,海伦堡御院 海伦堡御院南向大复式 仅有房源 中间位置 望泳池 ,318,9300000,5室2厅,南,高层/12层,29245,毛坯
226,天河,中海康城 黄村中海康城两房 安静望花园 看中可议,76,3100000,2室2厅,北,高层/21层,40789,精
227,番禺,倚湖湾 大三房背山望水 视野开阔 无遮挡可以看到广州小蛮腰,124.23,3900000,3室2厅,东南,中层/33层,31393,精
228,番禺,星河湾 复式单位 业主诚心放盘 高层南北对流  房产免征税,196,8500000,4室2厅,南北,高层/9层,43367,普通
